B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,ChlRe,REPO,NDMI,NDWI,NDCI,MCARI,ndre,AGB_2017
26.363636363636363,37.81818181818182,54.45454545454545,75.27272727272727,84.9090909090909,90.3181818181818,95.5909090909091,99.8181818181818,104.6818181818182,105.1818181818182,115.5,81.0,0.1401774754163359,0.125860777562744,703.2164502164501,-0.0729730871420004,-0.2940285290203623,0.0601946764208367,4.008711589781949,0.0806626169414565,0.0
5.0,5.043478260869565,11.0,9.0,21.26086956521739,53.869565217391305,64.8695652173913,67.91304347826087,73.73913043478261,73.52173913043478,39.56521739130435,20.52173913043478,0.7661470815580683,2.075996549990431,719.1867032578732,0.263327330684359,-0.72147506687483,0.4054808958947523,24.48278060104148,0.5234394152427256,12.806666666666668
8.652173913043478,12.173913043478262,20.52173913043478,29.043478260869566,40.08695652173913,51.73913043478261,59.130434782608695,66.52173913043478,72.1304347826087,71.17391304347827,89.0,57.04347826086956,0.393034145972755,0.477645567533111,713.8600819470383,-0.1441168570487677,-0.5286393228874473,0.1618864960631312,10.042514586953986,0.2476583927136761,0.0
12.869565217391305,19.82608695652174,30.39130434782609,44.82608695652174,53.391304347826086,58.60869565217392,64.21739130434783,68.43478260869566,72.0,72.21739130434783,73.21739130434783,49.56521739130435,0.2165606814600704,0.2139195398769089,704.6400966183575,-0.0355118443780301,-0.3960209878396901,0.0915250669105975,4.808929822879497,0.1277864379829798,0.0571428571428571
4.0,6.954545454545454,12.272727272727272,17.045454545454547,25.045454545454547,35.18181818181818,39.90909090909091,43.86363636363637,46.95454545454545,41.09090909090909,57.22727272727273,40.81818181818182,0.43761065787433,0.5907620810554571,713.6483617392709,-0.1347523729931227,-0.560533682331188,0.189553989096599,8.145677870031585,0.271418338846857,0.3384615384615385
8.954545454545455,12.636363636363637,22.181818181818183,30.363636363636363,43.09090909090909,56.72727272727273,64.04545454545455,69.81818181818181,75.86363636363636,76.54545454545455,86.81818181818181,54.45454545454545,0.3938861323526994,0.4865743775982005,712.047952047952,-0.1085386983754917,-0.5178675734829067,0.1733094890571256,12.139551016280716,0.2367530051657149,0.08
10.4,13.05,19.4,27.55,32.7,36.95,41.4,45.15,49.3,44.2,81.5,62.9,0.2419735192560944,0.2660121434937611,716.6166666666667,-0.2870691836360671,-0.3987582852874037,0.0855097827812177,2.964066565618289,0.1597727925665036,0.0
9.08695652173913,12.08695652173913,20.217391304347824,27.130434782608692,38.21739130434783,51.391304347826086,56.869565217391305,60.52173913043478,65.65217391304348,65.21739130434783,75.47826086956522,50.43478260869565,0.388482420953177,0.5064089735946219,711.4877391009105,-0.1064200641212569,-0.5018189539981229,0.1781747341623199,11.15692337969598,0.2286139486425027,5.741538461538462
2.0,2.4782608695652173,7.608695652173913,5.130434782608695,15.26086956521739,42.95652173913044,50.30434782608695,53.52173913043478,56.43478260869565,55.82608695652174,27.0,12.347826086956522,0.8246857465504117,2.3416462926777237,718.0746024163071,0.3229730440909937,-0.7519496937379501,0.4946296999638487,26.03722567287785,0.5561598459549877,7.277142857142857
5.826086956521739,9.0,14.391304347826088,18.26086956521739,24.217391304347824,31.782608695652176,35.43478260869565,38.869565217391305,41.0,36.04347826086956,54.26086956521739,38.30434782608695,0.3620335338615401,0.4674830130312172,713.912572934312,-0.1654549229706343,-0.4601825312893414,0.1417149391920672,5.362841852363996,0.2327006426704956,0.0
